종목코드,기준일자,시가,고가,저가,종가,전일대비,거래량,거래대금,시가,고가,저가,종가,전일대비,거래량,외인보유,외인보유전일대비,외인비중,등락률,거래대금,개인순매수,외인순매수,기관순매수,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드,국가지자체,CLASS
A035720,20181218,2057,2074,2054,2062,-8.98,429530,5241610,108500,111000,107000,108500,-2000,188963,20915445,-18056,25.080000000000002,-1.81,2055308,19487,-5505,-13005,23654,165,-8949,0,0,-35492,-929,-48,7617,0,-0.46
A035720,20181217,2071,2076,2066,2071,1.71,444522,4764477,110000,112000,108500,110500,500,173155,20933501,1176,25.1,0.45,1904436,-46600,13765,34775,22418,-3099,14091,0,0,4152,-1928,-12,-2787,0,-1.81
A035720,20181214,2096,2096,2061,2069,-26.17,448237,5784241,110500,111500,109000,110000,-1500,196803,20932325,24091,25.1,-1.35,2165801,-17141,28536,-5809,-5553,376,-2733,0,0,7637,-5609,23,-5536,0,0.45
A035720,20181212,2063,2085,2061,2083,29.6,457126,5613049,107000,111000,105500,110000,3000,393740,20829195,51386,24.98,2.8000000000000003,4267387,-46101,34964,5021,13780,-12803,-16216,0,-386,16024,6014,102,4622,0,-1.35
A035720,20181211,2058,2061,2047,2053,-0.8200000000000001,273932,5020321,110000,110500,106500,107000,-4000,461496,20777809,-13024,24.92,-3.6,4955572,-13433,10306,1583,56428,-20062,-21489,-619,0,8569,1512,32,-21244,0,2.8
A035720,20181210,2048,2062,2043,2054,-21.97,344164,4697529,113000,113500,110000,111000,-3500,331087,20790833,21364,24.93,-3.06,3679089,-36226,49383,-12186,21869,5303,-3430,547,-93,15620,-916,-55,-52002,0,-3.6
A035720,20181206,2095,2095,2064,2069,-32.62,537409,5606457,115000,117500,114500,116000,1500,396531,20756944,-574,24.89,1.31,4599871,-139411,-695,143615,13691,1107,45390,-72,1020,39583,-2849,-660,42401,495,-3.06
A035720,20181205,2087,2108,2087,2101,-13.040000000000001,492716,4802792,112000,115000,111500,114500,1000,222316,20757518,82408,24.89,0.88,2534771,-87833,47047,41632,5504,3630,12418,-1413,37,3101,-392,-454,8714,9641,1.31
A035720,20181204,2126,2129,2105,2114,-17.580000000000002,507517,5539552,114000,115000,113000,113500,0,264857,20675110,-39446,24.79,0.0,3026244,-46571,32467,13795,-19006,3535,12594,1431,-19825,12420,313,-4,6024,16622,0.88
A035720,20181203,2128,2137,2114,2132,35.07,436588,5571246,114500,115000,112500,113500,1000,262030,20714556,8609,24.84,0.89,2978208,-58915,38625,17006,1226,21127,-13700,-125,-15446,12735,3360,-76,9682,1507,0
A035720,20181129,2134,2137,2109,2114,5.88,307230,5304158,113000,114000,111000,112000,0,263008,20636246,65502,24.75,0.0,2954534,-48303,64719,2555,1985,-13660,-10131,-2371,-252,8418,-18056,-915,16846,1720,0.89
A035720,20181128,2104,2109,2094,2108,8.8,300075,4793983,111500,113000,111000,112000,1500,185906,20570744,187388,24.67,1.36,2080352,-37998,1945,40053,-4368,4361,3560,0,0,5264,-3925,-75,33072,-1836,0
A035720,20181127,2092,2102,2079,2099,16.4,239211,4554649,113000,114000,110000,110500,-2000,270808,20383356,19828,24.44,-1.78,3020887,28367,28198,-56172,-14738,1732,-9127,-1209,-192,-19901,-413,20,-8893,-3844,1.36
A035720,20181126,2060,2084,2060,2083,25.54,237710,4482314,107500,113000,107500,112500,4500,460406,20363528,58589,24.42,4.17,5122463,-193991,42108,155247,-4066,26188,14553,-609,-607,58937,-3557,193,33320,27531,-1.78
A035720,20181123,2073,2076,2048,2057,-12.47,227202,3774227,107000,109500,106000,108000,1500,242633,20304939,46680,24.35,1.41,2622923,-64010,45548,13733,-18415,7390,8387,0,0,3369,4913,-184,13734,-732,4.17
A035720,20181122,2079,2082,2066,2070,-6.6000000000000005,242498,4152745,107000,107500,106000,106500,-1000,143409,20258259,-12017,24.29,-0.93,1527866,-11865,-11779,33336,-4283,-447,43,0,0,31747,-9676,-16,4057,2219,1.41
A035720,20181121,2057,2077,2050,2077,-6.03,267903,5151648,105000,107500,104500,107500,500,206018,20270276,-56348,24.310000000000002,0.47000000000000003,2193337,-40209,-24906,67078,13609,11182,6817,841,244,26421,-1938,-25,4940,3024,-0.93
A035720,20181120,2075,2090,2075,2083,-17.98,281685,5043725,106500,107500,105000,107000,0,234825,20326624,-23109,24.38,0.0,2501726,-29179,-19669,46109,15984,4899,15667,527,0,8816,2944,-205,2825,-2609,0.47
A035720,20181119,2096,2111,2089,2101,8.16,273198,4703756,102500,107500,102500,107000,4500,346393,20349733,18312,24.400000000000002,4.39,3671055,-122641,-248,123713,9363,15946,20978,438,0,25410,-2107,1283,34876,16702,0
A035720,20181115,2061,2089,2059,2088,20.01,351042,4828619,102500,104000,101500,104000,1000,170612,20498061,72654,24.580000000000002,0.97,1755990,-42825,4304,39167,2896,9327,12108,707,1669,9503,-290,-356,587,2370,4.39
A035720,20181114,2071,2075,2061,2068,-3.18,339046,5561968,102500,104000,101500,103000,1500,281601,20425407,-117859,24.490000000000002,1.48,2889960,-33765,21041,13670,-3300,5148,4660,0,344,10093,-490,-456,866,-4141,0.97
A035720,20181113,2048,2072,2032,2071,-9.21,383421,5865351,98800,101500,98700,101500,500,278476,20543266,8689,24.64,0.5,2784456,-34004,-3511,38054,8054,8786,6079,1227,0,3898,-100,-439,-3753,13763,1.48
A035720,20181112,2066,2087,2066,2080,-5.65,295528,5542962,101000,101500,100000,101000,500,201208,20534577,12991,24.63,0.5,2031074,-30027,12991,21312,10115,-8095,5690,0,0,867,-4200,-76,14765,-2030,0.5
A035720,20181109,2094,2102,2082,2086,-6.54,298072,5260639,100000,102000,98700,100500,500,292309,20521586,-95287,24.61,0.5,2939671,-47541,-41901,88722,-262,649,34611,0,0,12616,745,-25,44864,-3756,0.5
A035720,20181107,2090,2108,2072,2079,-10.93,485225,6452003,97100,97700,95200,95600,-1000,269320,20600543,-48467,24.71,-1.04,2597522,11355,-42837,31153,-2071,2563,-389,-2215,-937,41906,-494,823,-2289,-5415,0.5
A035720,20181106,2086,2093,2069,2090,12.700000000000001,315816,5143563,95700,97500,95000,96600,1100,195992,20649010,5865,24.76,1.1500000000000001,1888502,-23949,5865,18373,6468,630,-3495,-847,1840,4927,-190,-99,4212,4638,-1.04
A035720,20181105,2080,2080,2053,2077,-19.080000000000002,361302,4917286,97000,97400,94700,95500,-2700,339846,20643145,-38933,24.76,-2.75,3241634,97333,-38933,-59009,-27269,-3154,896,44,-450,873,154,455,-28239,-1710,1.15
A035720,20181101,2035,2054,2023,2024,-5.23,343813,5965853,92000,95600,91900,93100,1500,372853,20611275,-7157,24.72,1.6400000000000001,3513333,-29262,49103,-19724,-15384,11152,615,4180,-1838,2168,-109,-8,-17363,-3254,-2.75
A035720,20181031,2023,2031,2007,2030,15.0,373027,6347335,90900,92800,89700,91600,1100,336787,20618432,19956,24.73,1.22,3085800,-9098,46440,-37500,-50882,1988,14929,0,833,1802,107,51,5260,-11430,1.64
A035720,20181030,1986,2029,1986,2015,18.64,441585,7022060,86000,91100,86000,90500,2900,521229,20598476,88671,24.7,3.31,4631221,-80685,8671,70168,21631,3817,-5360,1334,1825,53744,767,1079,-12506,5683,1.22
A035720,20181029,2027,2046,1994,1996,-31.1,427304,6359734,89900,92400,87200,87600,-3300,599252,20509805,71817,24.6,-3.63,5357889,-85355,77321,5510,52799,-41769,-8853,-2003,-13565,27792,452,2072,-11703,2812,3.31
A035720,20181026,2067,2067,2009,2027,-36.15,449197,6688109,95000,95500,89900,90900,-3300,653419,20437988,76227,24.51,-3.5,5995787,33193,79227,-101572,-4340,-1962,-29479,-8000,-7336,1800,-12793,1945,-44468,-7787,-3.63
